generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
651,7.918,1,0.489444,0.2,0.517462,0.2
652,6.748,1,0.489391,0.3,0.506541,0.384615
653,6.338,1,0.486842,0.3,0.500535,0.333333
654,5.894,1,0.45933,0.2,0.479714,0.2
655,6.075,1,0.47665,0.2,0.491022,0.2
656,6.602,1,0.48775,0.2,0.501527,0.3
657,7.734,1,0.48037,0.2,0.504421,0.3
658,6.919,1,0.504192,0.2,0.525751,0.3
659,5.851,0.9,0.48793,0.2,0.503007,0.3
660,6.338,1,0.491409,0.3,0.508486,0.3
661,7.52,1,0.492057,0.3,0.509819,0.3
662,7.321,1,0.495071,0.2,0.511145,0.285714
663,6.737,1,0.499231,0.2,0.516317,0.3
664,6.962,1,0.494133,0.166667,0.518728,0.166667
665,6.657,1,0.460673,0.2,0.484083,0.2
666,6.189,0.9,0.467368,0.2,0.489597,0.3
667,7.454,1,0.479123,0.2,0.5024,0.375
668,6.471,1,0.487961,0.2,0.521316,0.4
669,6.978,1,0.479284,0.2,0.508906,0.3
670,6.433,1,0.47849,0.2,0.512601,0.3
671,7.247,1,0.516195,0.2,0.536283,0.3
672,4.155,1,0.450891,0.2,0.469431,0.3
673,6.213,1,0.463168,0.2,0.490303,0.3
674,6.89,0.9,0.458389,0.2,0.485402,0.3
675,6.497,0.9,0.465285,0.2,0.492552,0.333333
676,9.402,1,0.49399,0.2,0.523448,0.3
677,7.683,0.9,0.473662,0.2,0.51197,0.3
678,6.83,0.9,0.467387,0.2,0.504359,0.2
679,5.397,0.7,0.461334,0.142857,0.48497,0.142857
680,6.684,0.7,0.491128,0.142857,0.515116,0.142857
681,7.148,0.7,0.478239,0.142857,0.500452,0.142857
682,5.751,0.7,0.458945,0.142857,0.479927,0.142857
683,5.446,0.7,0.459825,0.142857,0.480079,0.142857
684,7.046,0.7,0.483444,0.142857,0.49785,0.142857
685,7.423,0.7,0.49862,0.142857,0.519708,0.142857
686,7.218,0.7,0.474761,0.142857,0.496004,0.142857
687,7.332,0.7,0.494317,0.142857,0.503016,0.142857
688,7.677,0.7,0.501671,0.142857,0.517211,0.142857
689,8.802,0.7,0.493976,0.142857,0.51682,0.142857
690,7.8,0.7,0.487325,0.142857,0.505817,0.142857
691,7.019,0.7,0.433011,0.142857,0.447146,0.142857
692,7.793,0.7,0.431413,0.142857,0.444048,0.142857
693,7.877,0.7,0.458075,0,0.473361,0.142857
694,7.572,0.7,0.451781,0.142857,0.462305,0.142857
695,7.992,0.7,0.42169,0,0.442194,0.142857
696,6.631,0.7,0.418272,0,0.443542,0.142857
697,6.219,0.7,0.415993,0,0.43547,0.142857
698,6.151,0.7,0.424235,0,0.445005,0.142857
699,7.048,0.7,0.424325,0,0.443738,0.111111
700,7.193,0.7,0.431018,0,0.454062,0.142857
701,6.705,0.7,0.390392,0,0.419578,0.142857
702,6.92,0.7,0.403277,0,0.430363,0.142857
703,7.657,0.7,0.405661,0,0.434364,0.142857
704,7.934,0.7,0.427323,0,0.452755,0.142857
705,7.805,0.7,0.423644,0,0.452653,0.142857
